OrderID,CustomerName,Email,Region,Product,Quantity,UnitPrice,Total,OrderDate,DeliveryStatus,PaymentStatus
ORD1082,Rahul Kaur,rahul.kaur@hotmail.com,Lucknow,Ink Cartridge,1,889,889,13.10.2015,Cancelled,Unpaid
ORD1219,Suresh Nair,suresh.nair@gmail.com,Pune,Ink Cartridge ,2,785,1570,13 Sep 2017,Pending,COD
ORD1056,Rita Verma,rita.verma@yahoo.com,Delhi,Speaker,1,1765,1765,15/12/2015,Delayed,COD
ORD1495,Ramesh Gupta,,Chennai,Keyboard,1,740,740,Nov 14 2018,Delayed,Unpaid
ORD1265,Vijay Sharma,vijay.sharma@mail.com,Lucknow,Tablet,2,15412,15412,19-03-2018,Delivered,Refunded
ORD1156,Neha Singh,neha.singh@hotmail.com,Bengaluru,Headphones,1,1645,1645,2018-05-06,Out for delivery,COD
ORD1484,Meena Iyer,meena.iyer@hotmail.com,Bengaluru,Charger,two,,910,19 Jul 2023,Pending,Paid
ORD1322,Geeta Kumar,geeta.kumar@yahoo.com,Lucknow,Phone Case,1,290,290,16-Apr-2021,Delayed,COD
ORD1583,Imran Khan,imran.khan@yahoo.com,Pune,Microphone,1,2967,2967,18 Jul 2022,Out for delivery,Unpaid
ORD1292,Latika Singh,latika.singh@hotmail.com,Kolkata,Ink Cartridge,1,767,767,27.08.2020,Cancelled,Paid
ORD1239,Ramesh Sharma,ramesh.sharma@hotmail.com,Delhi,USB Cable,1,190,190,01-Sep-2016,Cancelled,COD
ORD1251,Rohit Kaur,rohit.kaur@hotmailcon,Pune,Speaker,1,2049,2049,2015/07/18,Delivered,COD
ORD1197,Sana Singh,sana.singh@outlook.com,Bengaluru,Microphone,4,3064,12256,10 Oct 2022,Pending,Paid
ORD1395,Meena Iyer,meena.iyermail.com,Jaipur,Tablet,1,14350,14350,2018-10-07,In Transit,COD
ORD1291,Amit Iyer,amit.iyer@gmail.com,Lucknow,Power Bank,2,1185,2370,2021-06-14,Returned,Refunded
ORD1321,Ramesh Bose,ramesh.bose@mail.com,Ahmedabad,Smartwatch,1,7948,7948,25/09/2022,In Transit,Paid
ORD1548,Ritika,ritika.patel@mail.com,Pune,Keyboard,1,899,899,24/04/2019,Delayed,Unpaid
ORD1526,Sourav Iyer,sourav.iyer@mail.com,Lucwnow,Laptop,1,44740,44740,2018-05-14,Delayed,Refunded
ORD1011,Rohit Iyer,rohit.iyergmail.com,Pune,Phone Case,1,316,316,13-Nov-2023,Returned,Refunded
ORD1003,Kamal Singh,kamalsingh@gmail.com,Delhi,Webcam,1,2120,2120,2024-06-08,In Transit,Unpaid
ORD1193,Geeta Singh,geeta.singh@hotmail.com,Jaipur,Laptop,-1,39819,-39819,2022-03-10,Delayed,Unpaid
ORD1228,Ritika Nair,ritika.nair@outlook.com,Jaipur,HDMI Cable,1,2338,2338,May 13 2015,Pending,Refunded
ORD1430,Priya Khan,priya.khan@outlook.com,Ahmedabad,Laptop,1,,48809,2018-01-31,Cancelled,COD
ORD1177,Vijay Iyer,vijay.iyerhotmail.com,Kolkata,Mouse,1,425,425,08.02.2021,Returned,Paid
ORD1132,Rohit Reddy,rohit.reddy@gmail.com,Membai,Speaker,1,1830,1830,22.02.2016,Out for delivery,Paid
ORD1384,Geeta Kaur,geeta.kaur@outlook.com,Delhi,Mouse,1,443,443,18/10/2020,Pending,Paid
ORD1473,Sahil Bose,sahil.bose@gmail.com,Bengaluru,HDMI Cable,-1,7615,-7615,2023-09-15,Returned,COD
